,timestamp,x,y,z,time
773,599620915943,-82,123,-1022,3902
774,599620915948,-82,125,-1026,3907
775,599620915953,-82,121,-1019,3912
776,599620915958,-85,124,-1027,3917
777,599620915963,-84,123,-1021,3922
778,599620915968,-85,125,-1024,3927
779,599620915973,-83,122,-1023,3932
780,599620915978,-81,122,-1023,3937
781,599620915983,-81,120,-1023,3942
782,599620915988,-81,124,-1021,3947
783,599620915993,-80,120,-1028,3952
784,599620915998,-84,126,-1021,3957
785,599620916003,-81,121,-1023,3962
786,599620916008,-82,121,-1022,3967
787,599620916013,-81,120,-1021,3972
788,599620916018,-86,125,-1021,3977
789,599620916023,-81,122,-1022,3982
790,599620916028,-84,121,-1021,3987
791,599620916033,-78,123,-1022,3992
792,599620916039,-83,127,-1017,3998
793,599620916044,-82,123,-1021,4003
794,599620916049,-83,126,-1026,4008
795,599620916054,-81,125,-1024,4013
796,599620916059,-79,119,-1020,4018
797,599620916064,-83,121,-1020,4023
798,599620916069,-79,123,-1014,4028
799,599620916074,-83,121,-1024,4033
800,599620916079,-82,125,-1024,4038
801,599620916084,-83,126,-1022,4043
802,599620916089,-81,124,-1020,4048
803,599620916094,-81,125,-1023,4053
804,599620916099,-83,127,-1027,4058
805,599620916104,-82,126,-1026,4063
806,599620916109,-86,125,-1020,4068
807,599620916114,-84,124,-1017,4073
808,599620916119,-85,126,-1023,4078
809,599620916124,-81,124,-1023,4083
810,599620916129,-85,125,-1025,4088
811,599620916134,-83,125,-1028,4093
812,599620916139,-82,126,-1024,4098
813,599620916144,-81,127,-1024,4103
814,599620916149,-83,118,-1025,4108
815,599620916154,-82,125,-1021,4113
816,599620916159,-82,128,-1023,4118
817,599620916164,-87,126,-1023,4123
818,599620916169,-81,125,-1025,4128
819,599620916174,-85,122,-1023,4133
820,599620916179,-86,126,-1026,4138
821,599620916184,-84,126,-1030,4143
822,599620916189,-82,127,-1025,4148
823,599620916194,-85,125,-1022,4153
824,599620916199,-82,121,-1026,4158
825,599620916204,-82,125,-1021,4163
826,599620916209,-84,121,-1023,4168
827,599620916214,-82,117,-1016,4173
828,599620916221,-81,120,-1021,4180
829,599620916226,-85,123,-1022,4185
830,599620916231,-86,125,-1022,4190
831,599620916236,-85,121,-1022,4195
832,599620916241,-80,124,-1018,4200
833,599620916246,-81,124,-1018,4205
834,599620916251,-86,122,-1024,4210
